team_number,team_name,city,state_prov,country,robot_image_url
435,Robodogs,Raleigh,North Carolina,USA,
2059,The Hitchhikers,Apex,North Carolina,USA,
3336,Zimanators,Swansboro,North Carolina,USA,
3459,Team PyroTech,Cary,North Carolina,USA,
3822,Neon Krakens,Siler City,North Carolina,USA,
3893,K-T Extinction,Goldsboro,North Carolina,USA,
4534,Wired Wizards,Wilmington,North Carolina,USA,https://i.imgur.com/CDbi2y2m.jpg
4816,Gadget Girls,Raleigh,North Carolina,USA,
4829,Titanium Tigers,Chapel Hill,North Carolina,USA,
5190,Falcon Fury,Cary,North Carolina,USA,
5607,Team Firewall,Wake Forest,North Carolina,USA,
6004,f(x) Robotics,Selma,North Carolina,USA,https://i.imgur.com/FHgh6hOm.jpg
6242,Chaos Theory,Selma,North Carolina,USA,
6639,The Mechanical Minds,Hickory,North Carolina,USA,
6729,RobCoBots,Lumberton,North Carolina,USA,
6894,Iced Java,Mount Holly,North Carolina,USA,
7443,Jag-Wires,Spring Lake,North Carolina,USA,
8205,Mind Over Metal,Wilmington,North Carolina,USA,
8758,Tar-Robo Turtles,Tarboro,North Carolina,USA,
9005,Avian Robotics,Charlotte,North Carolina,USA,
9032,RoboWhales,Cary,North Carolina,USA,
9042,SOARIN,Erwin,North Carolina,USA,
9198,The Beach Botz,Southport,North Carolina,USA,
9296,TITANium,Rocky Point,North Carolina,USA,
9297,BOGOBOTS,Hampstead,North Carolina,USA,
9496,LYNK,Spindale,North Carolina,USA,https://i.imgur.com/nzcddggm.jpg
9788,R.A.M.,Williamston,North Carolina,USA,
9789,Platinum Ringleaders,Roanoke Rapids,North Carolina,USA,
10260,RoboJags,Jackson,North Carolina,USA,
10583,Stampede,Charlotte,North Carolina,USA,
11146,CitrusDuckz,Greensboro,North Carolina,USA,
11297,Iron Corsairs,Lumberton,North Carolina,USA,
11417,Nano Knights,Denver,North Carolina,USA,
